csf	constant	linearTrend	wm	global	motion-pitch	motion-roll	motion-yaw	motion-x	motion-y	motion-z	gm	compcor1	compcor2	compcor3	compcor4	compcor5
11291.516438802084	1.0	0.0	8984.797084285621	9985.045287788076	0.1686	-0.1151	-0.0264	-0.0523	0.0694	0.1199	9172.205032155405	-0.009930115419742966	-0.10079325998073169	0.24504508312611772	-0.08901456352779455	0.14268530746017566
11395.21582813752	1.0	1.0	8996.709070890098	9985.46150141814	0.1781	-0.1211	-0.0235	-0.0656	0.0964	0.0942	9169.154897329838	-0.1277470522591408	0.10307539885815792	0.021143612151214408	0.039353116588560416	0.05644807679886871
11379.782700758715	1.0	2.0	8996.571693785105	9981.042529335038	0.2055	-0.1401	0.0101	-0.0373	0.1093	0.101	9161.674006039539	-0.003643068515434389	0.07041269981179998	0.07447581053393454	0.06270428130501343	0.0018646304030230931
11370.03544577574	1.0	3.0	8996.640251346067	10003.595499070996	0.1799	-0.1289	0.0018	-0.0406	0.1073	0.1186	9193.662424533257	0.1415856405984205	-0.12544040948836865	-0.03298633487082969	0.04475986957508188	0.05887444664535427
11343.736065204326	1.0	4.0	8998.077126341917	9967.750095732446	0.1619	-0.1224	0.0014	-0.0474	0.1024	0.1111	9141.910449316936	0.029957575301821283	-0.05118857246161723	0.14389882096861645	-0.15324262330920185	0.023283302207107393
11425.579725999098	1.0	5.0	8977.61275635025	9934.20069866343	0.1449	-0.1099	0.0029	-0.038	0.0963	0.1321	9113.984165657947	-0.3180937114628774	-0.06376612917379332	-0.0017709412352258647	0.10228013323556762	0.10512113984595456
11346.204752604166	1.0	6.0	8994.624486822318	9990.072188815973	0.1043	-0.0906	-0.021	-0.0252	0.0745	0.1449	9184.839752339007	0.0655195804468386	-0.04490404913502486	0.05852157311900993	0.12198609317939882	0.0987710121497877
11353.522373297275	1.0	7.0	9025.428863635609	10012.078245888166	0.0532	-0.0808	-0.0285	-0.0172	0.0757	0.1412	9195.15036907949	0.17792288462281708	0.07006392159043426	0.04224790923160356	-0.013091256133718466	-0.1447279958210304
11385.220061473357	1.0	8.0	9010.94954966506	9950.427579200912	0.0523	-0.0832	-0.0217	-0.0174	0.1095	0.1808	9139.43767404999	0.11731965108429081	0.1075617028653462	0.11594348311011224	-0.05174929787530677	-0.0788010911327857
11422.737146622096	1.0	9.0	8985.271644230834	9970.686362017696	0.0722	-0.0685	-0.0448	-0.0044	0.0996	0.1809	9157.575664410948	-0.045330055677492105	-0.1807173568293561	-0.1013525330500736	0.14880641688026322	-0.013172575275878359
11346.110750638521	1.0	10.0	8967.121624925725	9958.477264766614	0.0693	-0.0697	-0.0556	-0.0114	0.0676	0.1727	9145.548937775975	-0.25784280029760276	-0.13217679452949863	0.22557802356250142	0.10346172976721159	0.1034348503708975
11415.088446201422	1.0	11.0	8986.607737592863	9990.598145924865	0.0609	-0.066	-0.0608	-0.0074	0.0749	0.1528	9192.501462588538	-0.15821852122862642	-0.2340642763549976	-0.10127898137964458	0.1393321570193473	-0.09567015070752673
11455.421286558494	1.0	12.0	9036.309661391942	10055.398656151196	0.0502	-0.0691	-0.0633	-0.003	0.0558	0.1282	9251.962716608305	-0.010667234430351188	0.04799681414076638	-0.21297322785730355	0.03990597355766822	-0.06450778228282372
11393.041541466346	1.0	13.0	9033.614411651695	10052.3617539877	0.0744	-0.0356	-0.0617	0.009	-0.002	0.0795	9244.245758138972	0.13755538572772164	0.13222625977596414	0.06316884210258548	-0.1337714320194793	-0.10841593253772794
11429.747671274039	1.0	14.0	9014.513366997457	10053.59399921307	0.0582	-0.022	-0.063	0.0073	0.087	0.1001	9252.215744966816	0.1142213789887138	-0.0911260778975303	-0.10665766870224119	-0.08503010413971955	-0.1498657621567752
11446.15693703676	1.0	15.0	9022.202861979582	10046.282932146762	0.0503	-0.0433	-0.021	0.0006	0.0556	0.0863	9238.271923965416	-0.029933100128513326	0.18896171668300926	0.06539889834240216	-0.0969701878522293	0.1292068884807718
11463.460701184395	1.0	16.0	9014.793901743746	9997.435623997506	0.0874	-0.0465	-0.0073	0.0016	0.0514	0.1266	9182.10821260126	-0.005992605431999012	0.10402933324477023	-0.00017929754375473446	-0.02404675670625448	0.05612701251592673
11401.338882837541	1.0	17.0	9023.790472571602	9995.770766646858	0.0942	-0.0333	-0.0167	0.0065	0.0795	0.1097	9185.414906065904	0.1913921938582168	-0.02393871267228843	-0.06072588513262124	-0.0451062369100818	-0.1551097848687905
11491.712297488482	1.0	18.0	9024.397278623012	9984.206482685488	0.0758	-0.0105	-0.0266	0.0272	0.0914	0.1261	9164.605188987669	-0.12348703216008666	0.08037794007451018	-0.1168206997345742	-0.11017199169119465	0.03582363846225124
11388.587942270133	1.0	19.0	9023.111418270826	9957.109770121371	0.0656	-0.0185	-0.0263	0.0197	0.0385	0.142	9143.36679277299	-0.05680202261259668	0.2178475824819747	0.10249440148162517	0.06890325981236056	-0.0987871798165555
11409.30307398087	1.0	20.0	9033.198120091254	9970.865778444477	0.1278	-0.02	-0.0097	0.0007	0.0776	0.0767	9164.35144733645	0.2987091987642329	0.0015249441190696772	-0.07709809651921139	-0.04639243777908741	0.03090414292581007
11508.610803848658	1.0	21.0	9035.247733698647	9994.556278537553	0.0926	-0.0124	-0.0016	0.0072	0.0585	0.0345	9171.911280320704	-0.0218282925326623	-0.016553069192616943	-0.24614738692464125	-0.1947389909207735	-0.045623375231498765
11477.552023863182	1.0	22.0	9020.027691366417	9947.560528831818	0.0768	-0.0171	-0.0104	0.008	0.0502	0.0651	9124.181937650597	-0.063616523821299	0.17538341927639264	0.011378807972302852	-0.13613450442028024	-0.010484364763796269
11437.395407652244	1.0	23.0	9003.277046600724	9922.681498359181	0.0683	-0.0351	-0.016	0.0215	0.0394	0.0961	9110.016091408703	0.06914960973293231	0.109518486526839	-0.032372810909783986	0.22434129635166877	-0.025817257834003824
11389.27135917468	1.0	24.0	8987.9845021274	9932.565442006293	0.0719	-0.0301	-0.0024	0.0247	0.0446	0.1153	9116.414990433086	0.010491629022348455	-0.10580653565959025	0.09788902873384875	0.16688315434104878	0.09992312365488565
11396.384280473758	1.0	25.0	9008.511540636784	9962.550151451418	0.0735	-0.0361	-0.0048	0.0186	0.0449	0.0938	9145.137895426838	-0.005515882971563421	-0.17073086042452965	-0.09604484973120933	0.08807530277495358	-0.03748931367187119
11426.916672926684	1.0	26.0	9020.902509674339	9979.966930823419	0.0336	-0.0325	0.0001	0.0172	0.083	0.1143	9160.93482871051	-0.11911950738874938	-0.024630366313407093	-0.12645981603610376	0.13207816032108044	-0.16694213997158988
11342.940996218951	1.0	27.0	9013.236955307588	10002.626001161469	0.0304	-0.0449	-0.0019	0.0052	0.0253	0.0875	9190.081600169613	-0.00809218622474071	-0.006926144334252654	0.13358990018320036	0.04448271669516386	-0.20540896764752295
11407.094715607473	1.0	28.0	9033.471337154106	10024.924871684709	0.0247	-0.0389	-0.0073	0.0138	0.0501	0.0941	9215.393655800104	0.16459703614228227	-0.0480267934040288	-0.14592255437694832	0.07720537594544248	-0.196991827361586
11333.600809733072	1.0	29.0	9015.62308945827	10018.333297359792	0.0509	-0.0515	-0.0066	0.008	0.0382	0.0934	9206.244324099389	-0.00023998317427198967	-0.08727996666625794	0.1963010630762312	-0.11976042955891192	-0.008993255134031097
11385.622774564303	1.0	30.0	9005.271272807206	10002.442483804796	0.0452	-0.0381	-0.0071	0.0145	0.0878	0.1011	9188.028071675672	0.00026024238779974115	-0.1758398122841908	0.0317732502464818	-0.08733394253855381	-0.14813783187249735
11391.2966793745	1.0	31.0	9022.241647143715	10014.919340071554	-0.0065	-0.0754	0.0117	-0.0148	0.0005	0.0686	9199.724865669801	-0.09731251053232715	0.10161135330528151	0.07293156984192303	0.061558661155079214	-0.03702376969401139
11379.212073692908	1.0	32.0	9024.396300348883	10044.646308169464	0.0301	-0.0663	0.0056	0.001	0.043	0.0693	9236.814388918889	0.07195889795091494	-0.036488794475812124	0.014845332577135264	0.05133849988151354	0.029683131413212795
11386.769488994893	1.0	33.0	9026.85008038435	10044.87627522963	0.0583	-0.0522	-0.0099	0.0049	0.1013	0.0673	9232.629156496294	0.08258792677335682	-0.11185549805354697	-0.0008147514299560473	-0.13242209248387582	-0.0552752065330545
11465.191955566406	1.0	34.0	9029.471140368567	10038.980520373989	0.0227	-0.047	-0.0041	0.0177	0.0565	0.0901	9228.44988541535	-0.14815665260012115	-0.016389033181568365	-0.11979165009448049	-0.0982421350879256	-0.2688021319858172
11389.404024564303	1.0	35.0	9027.419472753762	10024.708113454159	0.0431	-0.0433	-0.0038	0.0108	0.0546	0.0811	9218.565030102802	0.050073580336815304	0.12032581020901906	0.10265973837519615	0.01795251540347227	-0.02059356464336982
11381.406068459535	1.0	36.0	9007.058861905307	9981.026135220287	0.0287	-0.0451	0.0049	0.0175	0.0947	0.0992	9171.14992538131	-0.04273930539694665	0.07546978715326008	0.17548964989093666	0.09322258388253486	-0.059759780481529655
11332.808931790865	1.0	37.0	9017.79839414909	10005.366003471578	0.0808	-0.0432	0.017	-0.0492	-0.1445	-0.003	9206.899862480335	0.15132927286223086	-0.0785632654794023	0.12571857271994713	0.014265288029314692	-0.11585682910209345
11515.92206280048	1.0	38.0	9035.936786094846	10043.235097726192	0.1156	-0.0396	0.0052	-0.0694	0.0946	-0.1755	9228.355745261986	-0.006638427833406249	-0.11601944319950641	-0.4060014465450217	-0.002643072405315178	-0.017936232781755053
11478.278533153045	1.0	39.0	9035.84209049728	10049.370385150782	0.0069	-0.0165	0.0318	-0.0631	0.0174	-0.1832	9233.292957097576	0.055001407853126794	0.011678691300111588	-0.16667812189761322	-0.1682809461747194	0.17234163484526283
11438.011477739383	1.0	40.0	9054.542846238814	10000.151487216795	0.0426	-0.0244	0.0368	-0.0885	-0.1375	-0.186	9169.82677801006	0.0695672392188998	0.15821791707268001	-0.0008843684632783332	-0.39241960468235926	0.0813686026389888
11551.000516451322	1.0	41.0	9040.142471744626	9922.099526537868	0.0205	-0.0196	0.0552	-0.0735	-0.0061	-0.1376	9089.826352876546	-0.1432193074384676	0.2712132010348634	-0.15481727502426346	-0.13419648402638215	0.28470755638132317
11441.820935371594	1.0	42.0	9010.496047639735	9901.964604545525	-0.0057	0.0051	0.0681	-0.0544	-0.0666	-0.094	9076.523327923882	-0.054584139502189606	0.12405846118361812	0.0006688251667045752	0.14317011967300436	0.12150755688540364
11401.564568935297	1.0	43.0	9009.895560095005	9942.45530324112	0.0075	0.0099	0.0529	-0.032	-0.0521	-0.1339	9119.423801437446	0.12233285914571064	-0.016891648128962957	0.005352333489046181	0.16037828396680923	0.2435203491341127
11462.97158578726	1.0	44.0	9020.789261930784	9968.744181130018	-0.0251	0.0248	0.0472	-0.0278	-0.014	-0.1307	9140.319253782196	-0.11624265985018933	0.019449109840190826	-0.1385688475268529	0.14955915389355887	0.17949787498655514
11427.681983360877	1.0	45.0	9020.47170930388	9992.528033243221	-0.094	0.0406	0.0424	-0.016	-0.0561	-0.1673	9170.16330346965	0.0666463227759997	-0.001118876730443759	-0.042765206823037534	0.06490307096596809	0.18734918710816778
11439.597463754508	1.0	46.0	9031.647939882589	9995.998453374941	-0.0738	0.0332	0.0203	-0.0135	-0.0866	-0.1496	9165.806343203667	-0.06824840355929414	0.0004829355248701488	-0.024645513865707493	-0.15889203842088315	0.11097800895117206
11471.86273819361	1.0	47.0	9028.007984959651	9980.775680368075	-0.1109	0.0313	0.0153	-0.0069	-0.085	-0.1137	9154.624733560224	-0.15210546125234164	0.1492214721577298	-0.013548568518548862	-0.05254989660174033	-0.07668894875068379
11479.074954301883	1.0	48.0	9034.65851697563	10010.08962004723	-0.0979	0.03	-0.0004	-0.0096	-0.0888	-0.1245	9191.34418007464	0.09855830614498855	0.026301118437048205	-0.16714418433750228	0.0856727387981026	0.13339744935812886
11458.635329026441	1.0	49.0	9014.717013525817	10030.424451276647	-0.0901	0.0164	-0.0078	-0.0153	-0.0123	-0.1294	9211.614078939	-0.02938657028698254	-0.1081928954141554	-0.09658724156352146	0.060520314010797	0.2388727804584162
11382.491932404348	1.0	50.0	9016.954095857069	10029.817434341188	-0.0717	0.0348	0.0177	-0.0105	-0.1093	-0.1382	9208.437263879086	-0.08231989654857028	-0.09696671492243099	0.10142139497383884	-0.12700914614337278	0.11407278195516775
11420.168079865285	1.0	51.0	9014.228444307098	10024.135702312562	-0.0788	-0.0023	0.0072	0.0206	0.0525	-0.056	9198.11609470261	-0.16077230913125776	-0.019283514474448784	0.061939736958750165	-0.011785520941422014	-0.043327636170856956
11429.958605644031	1.0	52.0	9022.61922496166	10025.208567814645	-0.0463	-0.0192	-0.0177	0.0086	-0.019	-0.0512	9202.236393815712	0.10537941842851763	0.010613457507336412	-0.0035617193766644462	0.07010424209623164	-0.036712368463839816
11416.677573179588	1.0	53.0	9013.43634029313	10015.954412295814	-0.0291	-0.0029	-0.0156	0.01	-0.0189	-0.0575	9198.868279422344	-0.0013106524686115192	-0.11890165182696154	-0.0018600640583625466	0.06790623430578605	0.12056456622157116
11339.390811235477	1.0	54.0	9005.918768495974	10014.931638125407	-0.0211	-0.0169	-0.0307	0.004	0.0009	-0.0721	9199.45099459229	-0.009492518047092901	-0.19141036769650255	0.19561331851321012	-0.11005291240108173	0.10103271657577959
11456.960734049479	1.0	55.0	9018.0474529084	9978.807542277054	-0.0728	0.0191	-0.0322	0.03	-0.0522	-0.0463	9161.707623223525	-0.16382307152847894	0.12068355480728532	0.004983340707890247	0.11809797511040761	-0.08677840705189581
